Audience Name,Location,Lead Count,Description,Created Date
"Ortal_Global_Foodies_2025-08-17","Global",1,"Kosher food enthusiasts from Global area","2025-08-17T23:42:11.989Z"
"Ortal_Paris_Foodies_2025-08-17","Paris",1,"Kosher food enthusiasts from Paris area","2025-08-17T23:42:11.989Z"
"Ortal_Philadelphia_Foodies_2025-08-17","Philadelphia",1,"Kosher food enthusiasts from Philadelphia area","2025-08-17T23:42:11.989Z"
"Ortal_Aventura_Foodies_2025-08-17","Aventura",1,"Kosher food enthusiasts from Aventura area","2025-08-17T23:42:11.989Z"
"Ortal_Great Neck_Foodies_2025-08-17","Great Neck",1,"Kosher food enthusiasts from Great Neck area","2025-08-17T23:42:11.989Z"
"Ortal_Los Angeles_Foodies_2025-08-17","Los Angeles",1,"Kosher food enthusiasts from Los Angeles area","2025-08-17T23:42:11.989Z"
"Ortal_NYC_Foodies_2025-08-17","NYC",1,"Kosher food enthusiasts from NYC area","2025-08-17T23:42:11.989Z"
"Ortal_Portugal_Foodies_2025-08-17","Portugal",1,"Kosher food enthusiasts from Portugal area","2025-08-17T23:42:11.989Z"
